"86736640","86736895","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Visoko"
"86736896","86737151","RU","Russian Federation","Sverdlovskaya oblast'","Bulanash"
"86737152","86737663","RU","Russian Federation","Sverdlovskaya oblast'","Karpinsk"
"86737664","86737919","RU","Russian Federation","Sverdlovskaya oblast'","Krasnotur'insk"
"86737920","86738687","RU","Russian Federation","Sverdlovskaya oblast'","Zarechnyy"
"86738688","86738943","RU","Russian Federation","Sverdlovskaya oblast'","Novoural'sk"
"86738944","86739199","RU","Russian Federation","Sverdlovskaya oblast'","Kirovgrad"
"86739200","86739455","RU","Russian Federation","Sverdlovskaya oblast'","Verkh-Neyvinskiy"
"86739456","86739711","RU","Russian Federation","Sverdlovskaya oblast'","Karpinsk"
"86739712","86739967","RU","Russian Federation","Sverdlovskaya oblast'","Kirovgrad"
"86739968","86740223","RU","Russian Federation","Sverdlovskaya oblast'","Irbit"
"86740224","86740479","RU","Russian Federation","Sverdlovskaya oblast'","Novoural'sk"
"86740480","86740735","RU","Russian Federation","Sverdlovskaya oblast'","Yekaterinburg"
"86740736","86740991","RU","Russian Federation","Sverdlovskaya oblast'","Zarechnyy"
"86740992","86741247","RU","Russian Federation","Sverdlovskaya oblast'","Karpinsk"
"86741248","86741503","RU","Russian Federation","Sverdlovskaya oblast'","Severoural'sk"
"86741504","86742015","RU","Russian Federation","Sverdlovskaya oblast'","Krasnotur'insk"
"86742016","86742271","RU","Russian Federation","Sverdlovskaya oblast'","Severoural'sk"
"86742272","86742527","RU","Russian Federation","Sverdlovskaya oblast'","Karpinsk"
"86742528","86742783","RU","Russian Federation","Sverdlovskaya oblast'","Severoural'sk"
"86742784","86743039","RU","Russian Federation","Sverdlovskaya oblast'","Krasnotur'insk"
"86743040","86743295","RU","Russian Federation","Sverdlovskaya oblast'","Irbit"
"86743296","86743551","RU","Russian Federation","Sverdlovskaya oblast'","Zarechnyy"
"86743552","86743807","RU","Russian Federation","Sverdlovskaya oblast'","Novoural'sk"
"86743808","86744063","RU","Russian Federation","Sverdlovskaya oblast'","Zarechnyy"
"86744064","86744319","RU","Russian Federation","Sverdlovskaya oblast'","Nev'yansk"
"86744320","86745087","RU","Russian Federation","Sverdlovskaya oblast'","Novoural'sk"
"86745088","86745855","HR","Croatia","Sisacko-moslavacka zupanija","Kutina"
"86745856","86746111","HR","Croatia","Istarska zupanija","Buje"
"86746112","86746367","HR","Croatia","Grad Zagreb","Zagreb"
"86746368","86746623","HR","Croatia","Osjecko-baranjska zupanija","Osijek"
"86746624","86746879","HR","Croatia","Pozesko-slavonska zupanija","Pozega"
"86746880","86747135","HR","Croatia","Osjecko-baranjska zupanija","Nasice"
"86747136","86747391","HR","Croatia","Grad Zagreb","Zagreb"
"86747392","86747647","HR","Croatia","Sisacko-moslavacka zupanija","Kutina"
"86747648","86747903","HR","Croatia","Pozesko-slavonska zupanija","Pakrac"
"86747904","86748159","HR","Croatia","Sisacko-moslavacka zupanija","Kutina"
"86748160","86748415","HR","Croatia","Grad Zagreb","Zagreb"
"86748416","86748671","HR","Croatia","Pozesko-slavonska zupanija","Pozega"
"86748672","86748927","HR","Croatia","Grad Zagreb","Zagreb"
"86748928","86749183","HR","Croatia","Vukovarsko-srijemska zupanija","Vinkovci"
"86749184","86749439","HR","Croatia","Osjecko-baranjska zupanija","Valpovo"
"86749440","86750463","HR","Croatia","Zagrebacka zupanija","Samobor"
"86750464","86750719","HR","Croatia","Brodsko-posavska zupanija","Nova Gradiska"
"86750720","86750975","HR","Croatia","Istarska zupanija","Rovinj"
"86750976","86751231","HR","Croatia","Brodsko-posavska zupanija","Nova Gradiska"
"86751232","86751487","HR","Croatia","Bjelovarsko-bilogorska zupanija","Bjelovar"
"86751488","86751743","HR","Croatia","Zagrebacka zupanija","Samobor"
"86751744","86751999","HR","Croatia","Osjecko-baranjska zupanija","Osijek"
"86752000","86752255","HR","Croatia","Osjecko-baranjska zupanija","Valpovo"
"86752256","86752511","HR","Croatia","Osjecko-baranjska zupanija","Osijek"
"86752512","86752767","HR","Croatia","Primorsko-goranska zupanija","Rijeka"
"86752768","86753023","HR","Croatia","Osjecko-baranjska zupanija","Valpovo"
"86753024","86753279","HR","Croatia","Brodsko-posavska zupanija","Nova Gradiska"
"86753280","86753791","PS","Palestine, State of","Ramallah","Ramallah"
"86753792","86754047","PS","Palestine, State of","Nablus","Nablus"
"86754048","86754303","PS","Palestine, State of","Ramallah","Ramallah"
"86754304","86754559","PS","Palestine, State of","Jenin","Ya'bad"
"86754560","86755071","PS","Palestine, State of","Ramallah","Ramallah"
"86755072","86755327","PS","Palestine, State of","Ramallah","Ad Dawhah"
"86755328","86756607","PS","Palestine, State of","Ramallah","Ramallah"
"86756608","86757119","PS","Palestine, State of","Nablus","Nablus"
"86757120","86757631","PS","Palestine, State of","Ramallah","Ramallah"
"86757632","86757887","PS","Palestine, State of","Jenin","Janin"
"86757888","86759423","PS","Palestine, State of","Ramallah","Ramallah"
"86759424","86759679","PS","Palestine, State of","Jerusalem","Abu Dis"
"86759680","86759935","PS","Palestine, State of","Ramallah","Ramallah"
"86759936","86760191","PS","Palestine, State of","Ramallah","Ad Dawhah"
"86760192","86760959","PS","Palestine, State of","Ramallah","Ramallah"
"86760960","86761215","PS","Palestine, State of","Jenin","Ya'bad"
"86761216","86761471","PS","Palestine, State of","Nablus","Nablus"
"86761472","86763519","CZ","Czechia","Jihocesky kraj","Ceske Budejovice"
"86763520","86765567","IT","Italy","Toscana","Siena"
"86765568","86766591","RU","Russian Federation","Yaroslavskaya oblast'","Yaroslavl'"
"86766592","86766847","RU","Russian Federation","Komi, Respublika","Usinsk"
"86766848","86767103","RU","Russian Federation","Komi, Respublika","Ezhva"
"86767104","86767615","RU","Russian Federation","Komi, Respublika","Syktyvkar"
"86767616","86769663","IT","Italy","Lombardia","Milan"
"86769664","86773759","RU","Russian Federation","Sverdlovskaya oblast'","Kamensk-Ural'skiy"
"86773760","86777855","GB","United Kingdom of Great Britain and Northern Ireland","England","Hastings"
"86777856","86778879","AZ","Azerbaijan","Baki","Baku"
"86778880","86779903","AZ","Azerbaijan","Saki","Sheki"
"86779904","86780415","RU","Russian Federation","Saratovskaya oblast'","Saratov"
"86780416","86780671","RU","Russian Federation","Buryatiya, Respublika","Ulan-Ude"
"86780672","86780927","RU","Russian Federation","Chelyabinskaya oblast'","Magnitogorsk"
"86780928","86781183","US","United States of America","Virginia","Reston"
"86781184","86781439","NL","Netherlands","Noord-Holland","Amsterdam"
"86781440","86781951","US","United States of America","New Jersey","Newark"
"86781952","86782207","RU","Russian Federation","Bryanskaya oblast'","Sevsk"
"86782208","86782975","RU","Russian Federation","Permskiy kray","Perm"
"86782976","86783231","RU","Russian Federation","Sverdlovskaya oblast'","Mishina"
"86783232","86783743","RU","Russian Federation","Permskiy kray","Perm"
"86783744","86783999","RU","Russian Federation","Sakhalinskaya oblast'","Korsakov"
"86784000","86785279","RU","Russian Federation","Permskiy kray","Perm"
"86785280","86785535","RU","Russian Federation","Novgorodskaya oblast'","Borovichi"
"86785536","86785791","RU","Russian Federation","Rostovskaya oblast'","Rostov-na-Donu"
"86785792","86786047","RU","Russian Federation","Permskiy kray","Perm"
"86786048","86788095","NO","Norway","Vestland","Bergen"
"86788096","86788351","NL","Netherlands","Noord-Holland","Purmerend"
"86788352","86788607","NL","Netherlands","Utrecht","Amersfoort"
"86788608","86790143","NL","Netherlands","Noord-Holland","Purmerend"
"86790144","86794239","TR","Turkey","Istanbul","Istanbul"
"86794240","86795775","DE","Germany","Nordrhein-Westfalen","Dusseldorf"
"86795776","86796287","NL","Netherlands","Noord-Holland","Amsterdam"
"86796288","86797311","DE","Germany","Nordrhein-Westfalen","Dortmund"
"86797312","86798335","DE","Germany","Nordrhein-Westfalen","Dusseldorf"
"86798336","86798591","CH","Switzerland","Basel-Landschaft","Pratteln"
"86798592","86799615","CH","Switzerland","Bern","Nidau"
"86799616","86799871","CH","Switzerland","Bern","Burgdorf"
"86799872","86800383","CH","Switzerland","Bern","Nidau"
"86800384","86800639","CH","Switzerland","Aargau","Baden"
"86800640","86800895","CH","Switzerland","Bern","Nidau"
"86800896","86801151","CH","Switzerland","Basel-Landschaft","Pratteln"
"86801152","86801407","CH","Switzerland","Zurich","Zurich"
"86801408","86801663","CH","Switzerland","Basel-Landschaft","Pratteln"
"86801664","86801919","CH","Switzerland","Bern","Nidau"
"86801920","86802175","CH","Switzerland","Aargau","Baden"
"86802176","86802431","CH","Switzerland","Bern","Langenthal"
"86802432","86804479","GE","Georgia","Tbilisi","Tbilisi"
"86804480","86806527","DK","Denmark","Hovedstaden","Copenhagen"
"86806528","86810623","TR","Turkey","Istanbul","Istanbul"
"86810624","86812671","FR","France","Nouvelle-Aquitaine","Pessac"
"86812672","86813183","RU","Russian Federation","Novosibirskaya oblast'","Novosibirsk"
"86813184","86813439","RU","Russian Federation","Altayskiy kray","Biysk"
"86813440","86813695","RU","Russian Federation","Altayskiy kray","Rubtsovsk"
"86813696","86813951","RU","Russian Federation","Kemerovskaya oblast'","Novokuznetsk"
"86813952","86814207","RU","Russian Federation","Kemerovskaya oblast'","Prokop'yevsk"
"86814208","86814463","RU","Russian Federation","Kemerovskaya oblast'","Leningradskiy"
"86814464","86814719","RU","Russian Federation","Bryanskaya oblast'","Seti"
"86814720","86816767","SE","Sweden","Stockholms lan","Stockholm"
"86816768","86818815","EE","Estonia","Harjumaa","Tallinn"
"86818816","86819327","SE","Sweden","Vasterbottens lan","Umea"
"86819328","86819583","SE","Sweden","Jonkopings lan","Vetlanda"
"86819584","86819839","SE","Sweden","Vasterbottens lan","Umea"
"86819840","86820351","SE","Sweden","Stockholms lan","Stockholm"
"86820352","86820607","SE","Sweden","Skane lan","Kristianstad"
"86820608","86820863","SE","Sweden","Stockholms lan","Stockholm"
"86820864","86821119","SE","Sweden","Varmlands lan","Arvika"
"86821120","86821631","SE","Sweden","Vasterbottens lan","Umea"
"86821632","86821887","SE","Sweden","Varmlands lan","Arvika"
"86821888","86822143","SE","Sweden","Varmlands lan","Karlstad"
"86822144","86822399","SE","Sweden","Varmlands lan","Deje"
"86822400","86822655","SE","Sweden","Stockholms lan","Stockholm"
"86822656","86822911","SE","Sweden","Vasterbottens lan","Umea"
"86822912","86824959","AT","Austria","Steiermark","Grambach"
"86824960","86827007","LV","Latvia","Riga","Riga"
"86827008","86829055","GB","United Kingdom of Great Britain and Northern Ireland","England","Leeds"
"86829056","86831103","GB","United Kingdom of Great Britain and Northern Ireland","England","London"
"86831104","86833151","FI","Finland","Kanta-Hame","Vantaa"
"86833152","86833407","BR","Brazil","Sao Paulo","Sao Paulo"
"86833408","86833663","SG","Singapore","Singapore","Singapore"
"86833664","86833919","US","United States of America","Virginia","Ashburn"
"86833920","86834175","NL","Netherlands","Drenthe","Emmen"
"86834176","86834431","UA","Ukraine","Mykolaivska oblast","Mykolayiv"
"86834432","86834687","GB","United Kingdom of Great Britain and Northern Ireland","Wales","Cardiff"
"86834688","86834943","PS","Palestine, State of","Rafah","Rafah"
"86834944","86835199","US","United States of America","North Carolina","Charlotte"
"86835200","86835455","DE","Germany","Rheinland-Pfalz","Bad Kreuznach"
"86835456","86835711","DE","Germany","Bayern","Beilngries"
"86835712","86836735","DE","Germany","Saarland","Saarlouis"
"86836736","86836991","DE","Germany","Bayern","Beilngries"
"86836992","86837247","DE","Germany","Saarland","Saarlouis"
"86837248","86837759","ES","Spain","Valenciana, Comunidad","Castello de la Plana"
"86837760","86839295","ES","Spain","Valenciana, Comunidad","Cabanes"
"86839296","86840063","GB","United Kingdom of Great Britain and Northern Ireland","England","Watford"
"86840064","86840319","FR","France","Ile-de-France","Saint-Ouen"
"86840320","86843391","NL","Netherlands","Noord-Holland","Amsterdam"
"86843392","86844415","NL","Netherlands","Noord-Brabant","Helmond"
"86844416","86844927","US","United States of America","Texas","Dallas"
"86844928","86845439","DE","Germany","Hessen","Frankfurt am Main"
"86845440","86846463","FR","France","Ile-de-France","Suresnes"
"86846464","86847487","LV","Latvia","Riga","Riga"
